segment,trial,tag,note,velocity,hold_s,onset_s
attack_sweep_vib,11,env_attack=+4,60,100,2.500,259.6056
attack_sweep_vib,12,env_attack=+5,60,100,2.500,264.0609
attack_sweep_vib,13,env_attack=+6,60,100,2.500,268.5166
attack_sweep_vib,14,env_attack=+7,60,100,2.500,272.9718
attack_sweep_strings,0,env_attack=-7,60,100,2.500,280.9308
attack_sweep_strings,1,env_attack=-6,60,100,2.500,285.3864
attack_sweep_strings,2,env_attack=-5,60,100,2.500,289.8415
attack_sweep_strings,3,env_attack=-4,60,100,2.500,294.2966
attack_sweep_strings,4,env_attack=-3,60,100,2.500,298.7521
attack_sweep_strings,5,env_attack=-2,60,100,2.500,303.2074
attack_sweep_strings,6,env_attack=-1,60,100,2.500,307.6626
attack_sweep_strings,7,env_attack=+0,60,100,2.500,312.1180
attack_sweep_strings,8,env_attack=+1,60,100,2.500,316.5734
attack_sweep_strings,9,env_attack=+2,60,100,2.500,321.0286
attack_sweep_strings,10,env_attack=+3,60,100,2.500,325.4842
attack_sweep_strings,11,env_attack=+4,60,100,2.500,329.9388
attack_sweep_strings,12,env_attack=+5,60,100,2.500,334.3944
attack_sweep_strings,13,env_attack=+6,60,100,2.500,338.8490
attack_sweep_strings,14,env_attack=+7,60,100,2.500,343.3046
attack_sweep_brass,0,env_attack=-7,60,100,2.500,351.2637
attack_sweep_brass,1,env_attack=-6,60,100,2.500,355.7193
attack_sweep_brass,2,env_attack=-5,60,100,2.500,360.1726
attack_sweep_brass,3,env_attack=-4,60,100,2.500,364.6277
attack_sweep_brass,4,env_attack=-3,60,100,2.500,369.0826
attack_sweep_brass,5,env_attack=-2,60,100,2.500,373.5366
attack_sweep_brass,6,env_attack=-1,60,100,2.500,377.9906
attack_sweep_brass,7,env_attack=+0,60,100,2.500,382.4446
attack_sweep_brass,8,env_attack=+1,60,100,2.500,386.8995
attack_sweep_brass,9,env_attack=+2,60,100,2.500,391.3546
attack_sweep_brass,10,env_attack=+3,60,100,2.500,395.8086
attack_sweep_brass,11,env_attack=+4,60,100,2.500,400.2639
attack_sweep_brass,12,env_attack=+5,60,100,2.500,404.7186
attack_sweep_brass,13,env_attack=+6,60,100,2.500,409.1736
attack_sweep_brass,14,env_attack=+7,60,100,2.500,413.6275
level_sweep,0,level=127,60,100,1.200,421.5859
level_sweep,1,level=112,60,100,1.200,424.2397
level_sweep,2,level=96,60,100,1.200,426.8935
level_sweep,3,level=80,60,100,1.200,429.5471
level_sweep,4,level=64,60,100,1.200,432.2005
level_sweep,5,level=56,60,100,1.200,434.8537
level_sweep,6,level=48,60,100,1.200,437.5066
level_sweep,7,level=40,60,100,1.200,440.1601
level_sweep,8,level=32,60,100,1.200,442.8132
level_sweep,9,level=24,60,100,1.200,445.4655
level_sweep,10,level=16,60,100,1.200,448.1181
level_sweep,11,level=8,60,100,1.200,450.7710
level_sweep,12,level=4,60,100,1.200,453.4236
level_sweep,13,level=0,60,100,1.200,456.0755
velocity_sens,0,velo_sens=0 vel=1,60,1,1.200,462.2306
velocity_sens,1,velo_sens=0 vel=40,60,40,1.200,464.8840
velocity_sens,2,velo_sens=0 vel=80,60,80,1.200,467.5367
velocity_sens,3,velo_sens=0 vel=127,60,127,1.200,470.1891
velocity_sens,4,velo_sens=4 vel=1,60,1,1.200,472.8421
velocity_sens,5,velo_sens=4 vel=40,60,40,1.200,475.4947
velocity_sens,6,velo_sens=4 vel=80,60,80,1.200,478.1480
