segment,trial,tag,note,velocity,hold_s,onset_s
velocity_sens,6,velo_sens=4/vel=80,60,80,1.200,498.9820
velocity_sens,7,velo_sens=4/vel=127,60,127,1.200,501.6440
velocity_sens,8,velo_sens=8/vel=1,60,1,1.200,504.3060
velocity_sens,9,velo_sens=8/vel=40,60,40,1.200,506.9680
velocity_sens,10,velo_sens=8/vel=80,60,80,1.200,509.6300
velocity_sens,11,velo_sens=8/vel=127,60,127,1.200,512.2920
velocity_sens,12,velo_sens=12/vel=1,60,1,1.200,514.9540
velocity_sens,13,velo_sens=12/vel=40,60,40,1.200,517.6160
velocity_sens,14,velo_sens=12/vel=80,60,80,1.200,520.2780
velocity_sens,15,velo_sens=12/vel=127,60,127,1.200,522.9400
velocity_sens,16,velo_sens=15/vel=1,60,1,1.200,525.6020
velocity_sens,17,velo_sens=15/vel=40,60,40,1.200,528.2640
velocity_sens,18,velo_sens=15/vel=80,60,80,1.200,530.9260
velocity_sens,19,velo_sens=15/vel=127,60,127,1.200,533.5880
release_by_hold_vib,0,hold=0.20,60,100,0.200,539.7500
release_by_hold_vib,1,hold=0.50,60,100,0.500,543.6120
release_by_hold_vib,2,hold=1.00,60,100,1.000,547.7740
release_by_hold_vib,3,hold=2.00,60,100,2.000,552.4360
release_by_hold_vib,4,hold=4.00,60,100,4.000,558.0980
release_by_hold_vib,5,hold=8.00,60,100,8.000,565.7600
release_by_hold_organ,0,hold=0.20,60,100,0.200,580.9220
release_by_hold_organ,1,hold=0.50,60,100,0.500,584.7840
release_by_hold_organ,2,hold=1.00,60,100,1.000,588.9460
release_by_hold_organ,3,hold=2.00,60,100,2.000,593.6080
release_by_hold_organ,4,hold=4.00,60,100,4.000,599.2700
release_by_hold_organ,5,hold=8.00,60,100,8.000,606.9320
release_by_key_vib,0,note=36,36,100,1.000,622.0940
release_by_key_vib,1,note=48,48,100,1.000,626.4560
release_by_key_vib,2,note=60,60,100,1.000,630.8180
release_by_key_vib,3,note=69,69,100,1.000,635.1800
release_by_key_vib,4,note=72,72,100,1.000,639.5420
release_by_key_vib,5,note=84,84,100,1.000,643.9040
release_by_key_vib,6,note=96,96,100,1.000,648.2660
release_by_key_organ,0,note=36,36,100,1.000,656.1280
release_by_key_organ,1,note=48,48,100,1.000,660.4900
release_by_key_organ,2,note=60,60,100,1.000,664.8520
release_by_key_organ,3,note=69,69,100,1.000,669.2140
release_by_key_organ,4,note=72,72,100,1.000,673.5760
release_by_key_organ,5,note=84,84,100,1.000,677.9380
release_by_key_organ,6,note=96,96,100,1.000,682.3000
attack_by_velocity_strings,0,vel=16,60,16,2.500,690.1620
attack_by_velocity_strings,1,vel=40,60,40,2.500,694.6240
attack_by_velocity_strings,2,vel=64,60,64,2.500,699.0860
attack_by_velocity_strings,3,vel=96,60,96,2.500,703.5480
attack_by_velocity_strings,4,vel=127,60,127,2.500,708.0100
attack_by_velocity_brass,0,vel=16,60,16,2.500,715.9720
attack_by_velocity_brass,1,vel=40,60,40,2.500,720.4340
attack_by_velocity_brass,2,vel=64,60,64,2.500,724.8960
attack_by_velocity_brass,3,vel=96,60,96,2.500,729.3580
attack_by_velocity_brass,4,vel=127,60,127,2.500,733.8200
decay_hold,0,tone=piano,60,100,8.000,741.7880
decay_hold,1,tone=vib,60,100,8.000,752.9560
decay_hold,2,tone=bell,60,100,8.000,764.1240
decay_hold,3,tone=marimba,60,100,8.000,775.2920
decay_hold,4,tone=slap,60,100,8.000,786.4600
decay_hold,5,tone=fbass,60,100,8.000,797.6280
decay_hold,6,tone=choir,60,100,8.000,808.7960
decay_hold,7,tone=strings,60,100,8.000,819.9640
decay_hold,8,tone=organ,60,100,8.000,831.1320
decay_hold,9,tone=brass,60,100,8.000,842.3000
decay_hold,10,tone=flute,60,100,8.000,853.4680
decay_hold,11,tone=shaku,60,100,8.000,864.6360
